file,category,source
laptop-01.png,Laptop,photo-1496181133206-80ce9b88a853.avif
laptop-02.png,Laptop,photo-1588872657578-7efd1f1555ed.avif
laptop-03.png,Laptop,generated
laptop-04.png,Laptop,generated
laptop-05.png,Laptop,generated
pc-accessory-01.png,PC Accessory,generated
pc-accessory-02.png,PC Accessory,generated
pc-accessory-03.png,PC Accessory,generated
pc-accessory-04.png,PC Accessory,generated
pc-accessory-05.png,PC Accessory,generated
mobile-01.png,Mobile,photo-1598327105666-5b89351aff97.avif
mobile-02.png,Mobile,photo-1601784551446-20c9e07cdbdb.avif
mobile-03.png,Mobile,generated
mobile-04.png,Mobile,generated
mobile-05.png,Mobile,generated
cleaning-01.png,Cleaning,욕실 용품.png
cleaning-02.png,Cleaning,generated
cleaning-03.png,Cleaning,generated
cleaning-04.png,Cleaning,generated
cleaning-05.png,Cleaning,generated
kitchen-01.png,Kitchen,photo-1548594172-09665cd0e236.avif
kitchen-02.png,Kitchen,photo-1738484708927-c1f45df0b56e.avif
kitchen-03.png,Kitchen,premium_photo-1664007654191-75992ed6627b.avif
kitchen-04.png,Kitchen,generated
kitchen-05.png,Kitchen,generated
bathroom-01.png,Bathroom,premium_photo-1678217614190-115df4786c36.avif
bathroom-02.png,Bathroom,premium_photo-1723874631379-35fd9f28f734.avif
bathroom-03.png,Bathroom,generated
bathroom-04.png,Bathroom,generated
bathroom-05.png,Bathroom,generated
skincare-01.png,Skincare,photo-1552046122-03184de85e08.avif
skincare-02.png,Skincare,photo-1580870069867-74c57ee1bb07.avif
skincare-03.png,Skincare,photo-1585945037805-5fd82c2e60b1.avif
skincare-04.png,Skincare,premium_photo-1679046948909-ab47e96082e7-1.avif
skincare-05.png,Skincare,generated
makeup-01.png,Makeup,photo-1596462502278-27bfdc403348.avif
makeup-02.png,Makeup,generated
makeup-03.png,Makeup,generated
makeup-04.png,Makeup,generated
makeup-05.png,Makeup,generated
hair-body-01.png,Hair Body,photo-1774552803500-ab56c4881b0f.avif
hair-body-02.png,Hair Body,premium_photo-1664007755604-e44b2cae5a69.avif
hair-body-03.png,Hair Body,generated
hair-body-04.png,Hair Body,generated
hair-body-05.png,Hair Body,generated
health-food-01.png,Health Food,photo-1540189549336-e6e99c3679fe.avif
health-food-02.png,Health Food,photo-1579113800032-c38bd7635818.avif
health-food-03.png,Health Food,premium_photo-1663839331492-b047c939f167.avif
health-food-04.png,Health Food,generated
health-food-05.png,Health Food,generated
snack-01.png,Snack,photo-1546069901-ba9599a7e63c.avif
snack-02.png,Snack,photo-1725022857876-f3ac4e3aa17f.avif
snack-03.png,Snack,premium_photo-1663858367108-9150fe5ce9bd.avif
snack-04.png,Snack,premium_photo-1667031518595-9cb4b0d504ef.avif
snack-05.png,Snack,premium_photo-1669557209263-94abeebafcdd.avif
drink-01.png,Drink,images.jpg
drink-02.png,Drink,photo-1594053186687-7788bbcd6ea6.avif
drink-03.png,Drink,photo-1600271886742-f049cd451bba.avif
drink-04.png,Drink,photo-1618885472179-5e474019f2a9.avif
drink-05.png,Drink,premium_photo-1733342403779-a850e80de8f2.avif
shoes-01.png,Shoes,photo-1512374382149-233c42b6a83b.avif
shoes-02.png,Shoes,photo-1525966222134-fcfa99b8ae77.avif
shoes-03.png,Shoes,photo-1606107557195-0e29a4b5b4aa.avif
shoes-04.png,Shoes,photo-1608231387042-66d1773070a5.avif
shoes-05.png,Shoes,generated
bag-01.png,Bag,photo-1511405946472-a37e3b5ccd47.avif
bag-02.png,Bag,photo-1559563458-527698bf5295.avif
bag-03.png,Bag,photo-1600857062241-98e5dba7f214.avif
bag-04.png,Bag,photo-1680039211156-66c721b87625.avif
bag-05.png,Bag,photo-1705909237050-7a7625b47fac.avif
sports-01.png,Sports,generated
sports-02.png,Sports,generated
sports-03.png,Sports,generated
sports-04.png,Sports,generated
sports-05.png,Sports,generated
